mpicxx -O3 -DUSE_HIP -w src/task1_shared.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 28700, Residual: 5.697678e+03, Error: 6.264020e+01
Iteration 28800, Residual: 5.637310e+03, Error: 6.200064e+01
Iteration 28900, Residual: 5.577633e+03, Error: 6.136779e+01
Iteration 29000, Residual: 5.518639e+03, Error: 6.074157e+01
Iteration 29100, Residual: 5.460318e+03, Error: 6.012190e+01
Iteration 29200, Residual: 5.402661e+03, Error: 5.950871e+01
Iteration 29300, Residual: 5.345660e+03, Error: 5.890193e+01
Iteration 29400, Residual: 5.289307e+03, Error: 5.830149e+01
Iteration 29500, Residual: 5.233591e+03, Error: 5.770731e+01
Iteration 29600, Residual: 5.178506e+03, Error: 5.711933e+01
Iteration 29700, Residual: 5.124043e+03, Error: 5.653748e+01
Iteration 29800, Residual: 5.070193e+03, Error: 5.596168e+01
Iteration 29900, Residual: 5.016950e+03, Error: 5.539189e+01
Iteration 30000, Residual: 4.964304e+03, Error: 5.482802e+01
Iteration 30100, Residual: 4.912249e+03, Error: 5.427001e+01
Iteration 30200, Residual: 4.860777e+03, Error: 5.371780e+01
Iteration 30300, Residual: 4.809879e+03, Error: 5.317133e+01
Iteration 30400, Residual: 4.759550e+03, Error: 5.263053e+01
Iteration 30500, Residual: 4.709781e+03, Error: 5.209534e+01
Iteration 30600, Residual: 4.660566e+03, Error: 5.156570e+01
Iteration 30700, Residual: 4.611897e+03, Error: 5.104155e+01
Iteration 30800, Residual: 4.563768e+03, Error: 5.052282e+01
Iteration 30900, Residual: 4.516172e+03, Error: 5.000946e+01
Iteration 31000, Residual: 4.469102e+03, Error: 4.950142e+01
Iteration 31100, Residual: 4.422552e+03, Error: 4.899863e+01
Iteration 31200, Residual: 4.376514e+03, Error: 4.850104e+01
Iteration 31300, Residual: 4.330984e+03, Error: 4.800858e+01
Iteration 31400, Residual: 4.285953e+03, Error: 4.752121e+01
Iteration 31500, Residual: 4.241417e+03, Error: 4.703887e+01
Iteration 31600, Residual: 4.197369e+03, Error: 4.656151e+01
Iteration 31700, Residual: 4.153804e+03, Error: 4.608907e+01
Iteration 31800, Residual: 4.110714e+03, Error: 4.562150e+01
Iteration 31900, Residual: 4.068094e+03, Error: 4.515874e+01
Iteration 32000, Residual: 4.025940e+03, Error: 4.470075e+01
Iteration 32100, Residual: 3.984244e+03, Error: 4.424748e+01
Iteration 32200, Residual: 3.943001e+03, Error: 4.379886e+01
Iteration 32300, Residual: 3.902207e+03, Error: 4.335486e+01
Iteration 32400, Residual: 3.861855e+03, Error: 4.291543e+01
Iteration 32500, Residual: 3.821940e+03, Error: 4.248051e+01
Iteration 32600, Residual: 3.782457e+03, Error: 4.205006e+01
Iteration 32700, Residual: 3.743400e+03, Error: 4.162403e+01
Iteration 32800, Residual: 3.704765e+03, Error: 4.120237e+01
Iteration 32900, Residual: 3.666547e+03, Error: 4.078503e+01
Iteration 33000, Residual: 3.628740e+03, Error: 4.037198e+01
Iteration 33100, Residual: 3.591340e+03, Error: 3.996316e+01
Iteration 33200, Residual: 3.554342e+03, Error: 3.955853e+01
Iteration 33300, Residual: 3.517741e+03, Error: 3.915805e+01
Iteration 33400, Residual: 3.481532e+03, Error: 3.876167e+01
Iteration 33500, Residual: 3.445712e+03, Error: 3.836935e+01
Iteration 33600, Residual: 3.410274e+03, Error: 3.798104e+01
Iteration 33700, Residual: 3.375215e+03, Error: 3.759670e+01
Iteration 33800, Residual: 3.340531e+03, Error: 3.721630e+01
Iteration 33900, Residual: 3.306217e+03, Error: 3.683979e+01
Iteration 34000, Residual: 3.272268e+03, Error: 3.646712e+01
Iteration 34100, Residual: 3.238680e+03, Error: 3.609826e+01
Iteration 34200, Residual: 3.205450e+03, Error: 3.573317e+01
Iteration 34300, Residual: 3.172573e+03, Error: 3.537181e+01
Iteration 34400, Residual: 3.140045e+03, Error: 3.501414e+01
Iteration 34500, Residual: 3.107863e+03, Error: 3.466012e+01
Iteration 34600, Residual: 3.076021e+03, Error: 3.430971e+01
Iteration 34700, Residual: 3.044516e+03, Error: 3.396287e+01
Iteration 34800, Residual: 3.013344e+03, Error: 3.361957e+01
Iteration 34900, Residual: 2.982502e+03, Error: 3.327978e+01
Iteration 35000, Residual: 2.951986e+03, Error: 3.294344e+01
Iteration 35100, Residual: 2.921792e+03, Error: 3.261053e+01
Iteration 35200, Residual: 2.891916e+03, Error: 3.228102e+01
Iteration 35300, Residual: 2.862354e+03, Error: 3.195486e+01
Iteration 35400, Residual: 2.833104e+03, Error: 3.163202e+01
Iteration 35500, Residual: 2.804162e+03, Error: 3.131246e+01
Iteration 35600, Residual: 2.775523e+03, Error: 3.099616e+01
Iteration 35700, Residual: 2.747186e+03, Error: 3.068308e+01
Iteration 35800, Residual: 2.719146e+03, Error: 3.037318e+01
Iteration 35900, Residual: 2.691400e+03, Error: 3.006644e+01
Iteration 36000, Residual: 2.663944e+03, Error: 2.976281e+01
Iteration 36100, Residual: 2.636776e+03, Error: 2.946227e+01
Iteration 36200, Residual: 2.609893e+03, Error: 2.916479e+01
Iteration 36300, Residual: 2.583290e+03, Error: 2.887032e+01
Iteration 36400, Residual: 2.556966e+03, Error: 2.857885e+01
Iteration 36500, Residual: 2.530916e+03, Error: 2.829034e+01
Iteration 36600, Residual: 2.505138e+03, Error: 2.800476e+01
Iteration 36700, Residual: 2.479629e+03, Error: 2.772208e+01
Iteration 36800, Residual: 2.454386e+03, Error: 2.744227e+01
Iteration 36900, Residual: 2.429406e+03, Error: 2.716530e+01
Iteration 37000, Residual: 2.404686e+03, Error: 2.689114e+01
Iteration 37100, Residual: 2.380223e+03, Error: 2.661976e+01
Iteration 37200, Residual: 2.356014e+03, Error: 2.635113e+01
Iteration 37300, Residual: 2.332057e+03, Error: 2.608523e+01
Iteration 37400, Residual: 2.308348e+03, Error: 2.582202e+01
Iteration 37500, Residual: 2.284886e+03, Error: 2.556149e+01
Iteration 37600, Residual: 2.261667e+03, Error: 2.530359e+01
Iteration 37700, Residual: 2.238689e+03, Error: 2.504831e+01
Iteration 37800, Residual: 2.215949e+03, Error: 2.479561e+01
Iteration 37900, Residual: 2.193444e+03, Error: 2.454548e+01
Iteration 38000, Residual: 2.171173e+03, Error: 2.429788e+01
Iteration 38100, Residual: 2.149131e+03, Error: 2.405278e+01
Iteration 38200, Residual: 2.127318e+03, Error: 2.381017e+01
Iteration 38300, Residual: 2.105730e+03, Error: 2.357002e+01
Iteration 38400, Residual: 2.084365e+03, Error: 2.333229e+01
Iteration 38500, Residual: 2.063221e+03, Error: 2.309698e+01
Iteration 38600, Residual: 2.042294e+03, Error: 2.286404e+01
Iteration 38700, Residual: 2.021584e+03, Error: 2.263346e+01
Iteration 38800, Residual: 2.001087e+03, Error: 2.240522e+01
Iteration 38900, Residual: 1.980802e+03, Error: 2.217928e+01
Iteration 39000, Residual: 1.960725e+03, Error: 2.195563e+01
Iteration 39100, Residual: 1.940855e+03, Error: 2.173425e+01
Iteration 39200, Residual: 1.921190e+03, Error: 2.151510e+01
Iteration 39300, Residual: 1.901727e+03, Error: 2.129816e+01
Iteration 39400, Residual: 1.882464e+03, Error: 2.108343e+01
Iteration 39500, Residual: 1.863399e+03, Error: 2.087086e+01
Iteration 39600, Residual: 1.844530e+03, Error: 2.066044e+01
Iteration 39700, Residual: 1.825855e+03, Error: 2.045214e+01
Iteration 39800, Residual: 1.807372e+03, Error: 2.024596e+01
Iteration 39900, Residual: 1.789078e+03, Error: 2.004185e+01
Iteration 40000, Residual: 1.770972e+03, Error: 1.983981e+01
Iteration 40100, Residual: 1.753052e+03, Error: 1.963981e+01
Iteration 40200, Residual: 1.735315e+03, Error: 1.944183e+01
Iteration 40300, Residual: 1.717760e+03, Error: 1.924585e+01
Iteration 40400, Residual: 1.700385e+03, Error: 1.905185e+01
Iteration 40500, Residual: 1.683188e+03, Error: 1.885980e+01
Iteration 40600, Residual: 1.666167e+03, Error: 1.866970e+01
Iteration 40700, Residual: 1.649320e+03, Error: 1.848152e+01
Iteration 40800, Residual: 1.632645e+03, Error: 1.829523e+01
Iteration 40900, Residual: 1.616141e+03, Error: 1.811083e+01
Iteration 41000, Residual: 1.599806e+03, Error: 1.792829e+01
