mpicxx -O3 -DUSE_HIP -w src/task1.cu -o build/task1
mpicxx -O3 -DUSE_HIP -w src/task2.cu -o build/task2
Running task1...
Iteration 36500, Residual: 1.334562e+01, Error: 1.161639e-01
Iteration 36600, Residual: 1.304519e+01, Error: 1.129978e-01
Iteration 36700, Residual: 1.275152e+01, Error: 1.099153e-01
Iteration 36800, Residual: 1.246446e+01, Error: 1.069151e-01
Iteration 36900, Residual: 1.218387e+01, Error: 1.039958e-01
Iteration 37000, Residual: 1.190959e+01, Error: 1.011560e-01
Iteration 37100, Residual: 1.164149e+01, Error: 9.839464e-02
Iteration 37200, Residual: 1.137942e+01, Error: 9.571038e-02
Iteration 37300, Residual: 1.112325e+01, Error: 9.310206e-02
Iteration 37400, Residual: 1.087285e+01, Error: 9.056859e-02
Iteration 37500, Residual: 1.062808e+01, Error: 8.810887e-02
Iteration 37600, Residual: 1.038883e+01, Error: 8.572189e-02
Iteration 37700, Residual: 1.015496e+01, Error: 8.340666e-02
Iteration 37800, Residual: 9.926352e+00, Error: 8.116223e-02
Iteration 37900, Residual: 9.702894e+00, Error: 7.898769e-02
Iteration 38000, Residual: 9.484467e+00, Error: 7.688220e-02
Iteration 38100, Residual: 9.270956e+00, Error: 7.484491e-02
Iteration 38200, Residual: 9.062253e+00, Error: 7.287504e-02
Iteration 38300, Residual: 8.858247e+00, Error: 7.097181e-02
Iteration 38400, Residual: 8.658834e+00, Error: 6.913451e-02
Iteration 38500, Residual: 8.463910e+00, Error: 6.736241e-02
Iteration 38600, Residual: 8.273374e+00, Error: 6.565484e-02
Iteration 38700, Residual: 8.087127e+00, Error: 6.401114e-02
Iteration 38800, Residual: 7.905073e+00, Error: 6.243065e-02
Iteration 38900, Residual: 7.727118e+00, Error: 6.091273e-02
Iteration 39000, Residual: 7.553168e+00, Error: 5.945675e-02
Iteration 39100, Residual: 7.383134e+00, Error: 5.806208e-02
Iteration 39200, Residual: 7.216929e+00, Error: 5.672807e-02
Iteration 39300, Residual: 7.054464e+00, Error: 5.545408e-02
Iteration 39400, Residual: 6.895657e+00, Error: 5.423944e-02
Iteration 39500, Residual: 6.740425e+00, Error: 5.308346e-02
Iteration 39600, Residual: 6.588688e+00, Error: 5.198542e-02
Iteration 39700, Residual: 6.440366e+00, Error: 5.094458e-02
Iteration 39800, Residual: 6.295383e+00, Error: 4.996013e-02
Iteration 39900, Residual: 6.153664e+00, Error: 4.903124e-02
Iteration 40000, Residual: 6.015136e+00, Error: 4.815703e-02
Iteration 40100, Residual: 5.879726e+00, Error: 4.733654e-02
Iteration 40200, Residual: 5.747364e+00, Error: 4.656876e-02
Iteration 40300, Residual: 5.617982e+00, Error: 4.585265e-02
Iteration 40400, Residual: 5.491512e+00, Error: 4.518705e-02
Iteration 40500, Residual: 5.367890e+00, Error: 4.457079e-02
Iteration 40600, Residual: 5.247050e+00, Error: 4.400259e-02
Iteration 40700, Residual: 5.128931e+00, Error: 4.348114e-02
Iteration 40800, Residual: 5.013471e+00, Error: 4.300505e-02
Iteration 40900, Residual: 4.900610e+00, Error: 4.257288e-02
Iteration 41000, Residual: 4.790290e+00, Error: 4.218315e-02
Iteration 41100, Residual: 4.682453e+00, Error: 4.183432e-02
